change_id,week,change_type,component_area,synthetic_component_id,branch_type,validation_level,environment_profile,files_changed,lines_added,lines_deleted,modules_touched,author_experience_months,prior_failures_90d,historical_failure_rate,pipeline_duration_min,coverage_delta_pct,tests_impacted_count,critical_files_touched,documentation_refs_count,open_defects_linked,release_pressure_score,reviewer_count,validation_gap_count,readiness_score,recommended_validation_scope,failure_category,high_risk_change
CHG-00336,17,bugfix,functional_area_b,CMP-005,development,component_checks,profile_dependency,11,179,160,2,30.4,2,0.279,40.7,,38,0,4.0,0,70.8,2,3,43.5,readiness_review,compatibility_issue,1
CHG-00337,20,test,functional_area_b,CMP-027,development,integrated_checks,profile_dependency,9,83,93,1,24.1,4,0.176,36.2,-2.07,22,0,,0,60.5,3,2,43.5,readiness_review,execution_context_issue,1
CHG-00338,7,refactor,functional_area_e,CMP-067,development,component_checks,profile_dependency,11,61,222,2,67.9,0,0.166,16.6,1.73,31,0,1.0,2,81.7,3,1,83.3,focused_validation,none,0
CHG-00339,5,test,functional_area_d,CMP-002,development,broad_regression_checks,profile_standard,14,240,39,4,52.2,1,0.169,27.9,-3.27,45,0,2.0,0,48.3,2,1,51.8,broad_validation,none,0
CHG-00340,20,bugfix,functional_area_a,CMP-066,release_candidate,integrated_checks,profile_standard,8,183,51,1,16.9,1,0.167,33.1,,61,1,2.0,0,54.0,4,1,64.9,expanded_validation,none,0
CHG-00341,13,test,functional_area_a,CMP-001,release_candidate,basic_checks,profile_standard,6,39,131,1,,0,0.554,30.5,-2.29,19,0,0.0,1,29.5,4,2,69.3,expanded_validation,none,0
CHG-00342,6,feature,functional_area_b,CMP-105,release_candidate,integrated_checks,profile_standard,10,94,82,2,18.3,1,0.271,38.4,3.91,46,0,2.0,0,100.0,4,1,64.7,expanded_validation,insufficient_evidence,0
CHG-00343,13,bugfix,functional_area_b,CMP-001,release_candidate,basic_checks,profile_extended,11,141,77,2,27.2,3,0.251,64.4,-0.0,13,0,0.0,0,71.9,4,2,52.2,broad_validation,,1
CHG-00344,11,feature,functional_area_e,CMP-002,development,broad_regression_checks,profile_standard,8,155,71,2,62.4,1,0.228,37.8,-3.26,44,0,5.0,0,64.1,1,0,80.5,focused_validation,none,0
CHG-00345,19,bugfix,functional_area_a,CMP-001,development,integrated_checks,profile_standard,11,182,75,1,62.7,2,0.163,43.9,0.07,22,1,1.0,0,79.0,3,3,35.6,readiness_review,,1
CHG-00346,6,bugfix,functional_area_g,CMP-037,development,component_checks,profile_extended,7,97,34,2,23.6,0,0.21,44.5,,19,1,3.0,2,54.0,3,2,52.4,broad_validation,insufficient_evidence,1
CHG-00347,20,feature,functional_area_b,CMP-109,hotfix,integrated_checks,profile_standard,109,715,800,17,45.4,1,0.071,114.6,-1.08,563,1,0.0,3,58.4,3,0,30.4,readiness_review,compatibility_issue,1
CHG-00348,19,refactor,functional_area_a,CMP-002,release_candidate,broad_regression_checks,profile_standard,9,224,64,2,17.2,0,0.046,104.4,-3.36,81,1,2.0,1,78.2,1,1,38.5,readiness_review,insufficient_evidence,1
CHG-00349,4,bugfix,functional_area_g,CMP-003,development,broad_regression_checks,profile_standard,7,100,106,1,90.7,1,0.398,37.3,-3.78,44,0,,0,48.1,5,1,58.9,broad_validation,validation_issue,0
CHG-00350,4,bugfix,functional_area_b,CMP-002,release_candidate,integrated_checks,profile_extended,6,157,75,1,9.8,2,0.198,33.9,1.62,18,0,2.0,1,34.7,3,1,66.1,expanded_validation,none,0
CHG-00351,11,feature,functional_area_c,CMP-001,release_candidate,broad_regression_checks,profile_standard,12,91,178,3,26.6,1,0.219,38.5,-1.7,46,0,4.0,0,88.0,3,1,39.4,readiness_review,validation_issue,1
CHG-00352,1,bugfix,functional_area_h,CMP-034,hotfix,component_checks,profile_standard,4,331,36,1,45.3,3,0.388,38.5,2.79,14,0,4.0,4,52.2,1,2,53.1,broad_validation,compatibility_issue,1
CHG-00353,6,bugfix,functional_area_h,CMP-001,release_candidate,broad_regression_checks,profile_standard,6,148,37,1,19.2,1,0.052,21.4,-5.2,26,0,1.0,1,51.9,1,0,66.4,expanded_validation,none,0
CHG-00354,9,bugfix,functional_area_f,CMP-099,development,broad_regression_checks,profile_distributed,9,302,68,2,17.0,0,0.13,30.4,1.42,35,1,3.0,0,64.2,1,0,68.1,expanded_validation,none,0
CHG-00355,20,feature,functional_area_a,CMP-077,development,basic_checks,profile_standard,7,138,164,1,32.3,0,0.117,28.8,-1.47,30,0,1.0,0,19.6,3,2,72.1,expanded_validation,none,0
CHG-00356,20,refactor,functional_area_d,CMP-001,development,component_checks,profile_standard,6,270,67,1,22.2,0,0.308,451.8,1.67,23,1,2.0,0,53.2,3,1,69.0,expanded_validation,none,0
CHG-00357,4,dependency,functional_area_h,CMP-008,development,component_checks,profile_dependency,13,244,97,2,8.8,1,0.243,115.1,-1.22,56,0,4.0,0,55.8,1,1,66.7,expanded_validation,validation_issue,0
CHG-00358,18,configuration,functional_area_h,CMP-115,hotfix,basic_checks,profile_dependency,14,195,127,2,32.2,0,0.433,44.4,0.87,40,0,1.0,1,86.8,2,3,47.3,broad_validation,validation_issue,1
CHG-00359,2,refactor,functional_area_a,CMP-050,development,component_checks,profile_standard,7,83,81,1,44.3,3,0.121,50.6,-1.13,24,0,1.0,0,61.4,3,3,49.9,broad_validation,insufficient_evidence,1
CHG-00360,15,test,functional_area_c,CMP-022,development,basic_checks,profile_standard,9,80,54,3,29.1,0,0.187,56.8,-0.09,49,0,0.0,1,63.3,1,2,73.7,expanded_validation,validation_issue,0
CHG-00361,17,dependency,functional_area_b,CMP-001,development,integrated_checks,profile_standard,15,227,83,3,31.7,0,0.247,32.1,2.72,78,0,2.0,0,66.1,4,2,65.9,expanded_validation,none,0
CHG-00362,18,configuration,functional_area_a,CMP-001,development,basic_checks,profile_extended,6,161,34,2,40.7,0,0.362,50.2,,60,0,1.0,0,75.2,1,2,70.6,expanded_validation,none,0
CHG-00363,5,test,functional_area_e,CMP-035,development,component_checks,profile_standard,6,162,51,1,76.9,1,0.34,34.1,-1.41,30,1,0.0,3,44.3,4,0,69.2,expanded_validation,none,0
CHG-00364,18,dependency,functional_area_b,CMP-004,development,integrated_checks,profile_dependency,10,149,54,2,25.8,1,0.223,26.4,-2.63,55,0,1.0,1,35.8,1,2,45.8,broad_validation,none,0
CHG-00365,3,test,functional_area_b,CMP-017,release_candidate,component_checks,profile_distributed,12,175,156,2,39.1,2,0.318,35.4,0.8,43,0,0.0,0,48.6,2,2,59.2,broad_validation,none,0
CHG-00366,11,bugfix,functional_area_a,CMP-026,development,component_checks,profile_extended,8,245,163,1,31.8,1,0.252,21.4,2.39,56,0,2.0,1,61.7,1,2,72.1,expanded_validation,none,0
CHG-00367,10,feature,functional_area_d,CMP-005,development,broad_regression_checks,profile_standard,8,72,129,1,16.3,0,0.102,14.5,1.66,25,0,,1,47.1,2,0,82.1,focused_validation,none,0
CHG-00368,7,feature,functional_area_a,CMP-001,development,readiness_review,profile_dependency,6,133,69,1,48.5,1,0.136,23.2,3.91,18,0,0.0,0,42.0,1,2,69.7,expanded_validation,none,0
CHG-00369,1,bugfix,functional_area_c,CMP-004,development,integrated_checks,profile_distributed,11,148,126,2,,0,0.105,23.7,0.53,61,0,2.0,0,68.9,4,1,80.1,focused_validation,none,0
CHG-00370,16,configuration,functional_area_a,CMP-055,release_candidate,basic_checks,profile_distributed,10,80,154,2,44.3,0,0.065,58.2,-1.69,36,0,0.0,0,72.9,1,2,53.9,broad_validation,none,0
CHG-00371,7,bugfix,functional_area_h,CMP-003,release_candidate,basic_checks,profile_standard,11,101,76,1,6.9,2,0.156,34.4,2.38,21,0,,0,88.8,3,5,24.0,readiness_review,execution_context_issue,1
CHG-00372,14,configuration,functional_area_a,CMP-001,development,readiness_review,profile_extended,7,226,70,2,26.7,0,0.227,35.0,-3.34,29,0,1.0,1,56.1,1,1,63.7,expanded_validation,,0
CHG-00373,9,configuration,functional_area_d,CMP-094,hotfix,integrated_checks,profile_distributed,10,70,135,2,44.2,3,0.339,29.6,-1.91,52,0,3.0,1,78.5,3,0,46.7,broad_validation,validation_issue,1
CHG-00374,8,test,functional_area_b,CMP-018,release_candidate,broad_regression_checks,profile_dependency,5,170,43,1,56.4,0,0.091,27.7,0.12,9,0,,2,57.3,4,1,76.9,expanded_validation,none,0
CHG-00375,18,feature,functional_area_a,CMP-009,development,integrated_checks,profile_extended,7,61,94,2,11.6,1,0.362,24.7,-2.38,40,0,0.0,1,17.9,1,0,76.1,expanded_validation,none,0
CHG-00376,2,feature,functional_area_b,CMP-043,development,basic_checks,profile_standard,1,62,11,1,16.0,1,0.182,24.3,1.3,25,0,1.0,1,43.2,1,1,71.5,expanded_validation,none,0
CHG-00377,15,test,functional_area_a,CMP-004,development,component_checks,profile_standard,8,223,67,2,39.8,0,0.112,42.3,-1.16,36,0,2.0,1,40.1,1,1,76.5,expanded_validation,none,0
CHG-00378,15,test,functional_area_a,CMP-110,release_candidate,broad_regression_checks,profile_extended,9,162,86,3,34.4,1,0.157,24.2,2.04,47,1,0.0,1,42.2,4,3,28.4,readiness_review,compatibility_issue,1
CHG-00379,8,dependency,functional_area_d,CMP-051,development,broad_regression_checks,profile_dependency,10,238,74,1,32.3,0,0.272,54.7,0.83,73,0,2.0,0,54.6,4,2,67.6,expanded_validation,none,0
CHG-00380,6,test,functional_area_e,CMP-002,development,component_checks,profile_extended,9,130,115,2,74.6,1,0.111,44.6,3.69,58,0,4.0,0,66.6,2,5,56.8,broad_validation,quality_regression,1
CHG-00381,1,test,functional_area_a,CMP-003,release_candidate,integrated_checks,profile_standard,9,150,40,2,78.6,1,0.139,35.9,-4.38,45,0,1.0,2,56.4,2,1,61.0,broad_validation,none,0
CHG-00382,19,bugfix,functional_area_c,CMP-002,release_candidate,basic_checks,profile_standard,13,72,123,2,18.4,0,0.103,46.9,0.74,56,0,1.0,1,70.2,1,2,56.1,broad_validation,none,0
CHG-00383,19,bugfix,functional_area_d,CMP-016,development,readiness_review,profile_extended,10,103,110,2,,0,0.163,56.4,,44,0,0.0,0,42.7,1,2,62.1,expanded_validation,none,0
CHG-00384,5,bugfix,functional_area_b,CMP-015,release_candidate,component_checks,profile_dependency,3,176,33,1,31.0,0,0.107,84.5,0.26,529,0,1.0,2,61.5,4,1,81.1,focused_validation,none,0
CHG-00385,1,configuration,functional_area_c,CMP-008,development,broad_regression_checks,profile_standard,12,330,68,2,48.0,2,0.333,30.9,-1.38,31,0,1.0,0,42.3,2,2,65.6,expanded_validation,none,0
CHG-00386,3,dependency,functional_area_a,CMP-098,release_candidate,component_checks,profile_standard,9,334,157,2,59.3,2,0.15,112.3,,806,0,2.0,0,68.7,2,1,54.7,broad_validation,none,0
CHG-00387,2,bugfix,functional_area_b,CMP-006,development,integrated_checks,profile_dependency,8,141,126,2,26.0,2,0.146,42.8,,26,0,1.0,0,61.3,3,3,34.3,readiness_review,compatibility_issue,1
CHG-00388,17,configuration,functional_area_c,CMP-033,development,integrated_checks,profile_standard,129,655,791,22,21.1,1,0.132,121.5,-7.29,443,1,4.0,1,79.4,1,2,10.4,readiness_review,insufficient_evidence,1
CHG-00389,18,bugfix,functional_area_h,CMP-016,hotfix,component_checks,profile_standard,7,42,53,1,41.1,1,0.048,23.5,-2.1,6,0,1.0,2,60.8,2,1,51.9,broad_validation,none,0
CHG-00390,4,feature,functional_area_h,CMP-008,development,broad_regression_checks,profile_standard,6,61,109,1,28.5,2,0.141,26.9,-4.92,12,0,2.0,1,48.5,2,1,56.7,broad_validation,none,0
CHG-00391,15,feature,functional_area_h,CMP-001,development,broad_regression_checks,profile_standard,9,238,131,1,33.4,0,0.186,35.1,0.96,39,0,2.0,1,70.0,2,0,88.1,focused_validation,none,0
CHG-00392,4,feature,functional_area_c,CMP-016,development,broad_regression_checks,profile_standard,7,192,17,1,44.5,1,0.159,31.2,-2.51,34,1,3.0,0,46.5,4,1,56.9,broad_validation,,0
CHG-00393,8,dependency,functional_area_a,CMP-015,development,component_checks,profile_extended,5,129,51,1,,1,0.181,42.8,-0.44,5,0,2.0,0,60.0,2,2,73.7,expanded_validation,none,0
CHG-00394,12,bugfix,functional_area_b,CMP-001,development,broad_regression_checks,profile_extended,12,182,46,2,13.0,2,0.105,26.8,0.65,23,0,0.0,1,43.9,1,0,74.6,expanded_validation,none,0
CHG-00395,15,test,functional_area_b,CMP-036,development,integrated_checks,profile_extended,14,156,206,2,21.5,1,0.29,54.4,-0.83,77,1,3.0,0,58.3,1,2,41.6,readiness_review,validation_issue,1
CHG-00396,18,refactor,functional_area_a,CMP-006,release_candidate,integrated_checks,profile_extended,11,322,71,2,22.1,0,0.027,61.2,1.55,344,0,2.0,0,73.5,3,0,80.0,focused_validation,none,0
CHG-00397,1,feature,functional_area_a,CMP-003,release_candidate,integrated_checks,profile_standard,14,171,167,2,22.3,0,0.227,34.7,-1.24,76,0,1.0,0,84.9,4,0,58.1,broad_validation,none,0
CHG-00398,4,feature,functional_area_c,CMP-042,development,integrated_checks,profile_standard,15,96,106,3,8.3,2,0.508,28.3,-0.46,74,0,1.0,1,39.8,4,1,65.1,expanded_validation,none,0
CHG-00399,6,test,functional_area_b,CMP-003,development,basic_checks,profile_standard,12,244,108,2,85.1,1,0.138,27.9,-1.66,21,1,4.0,0,59.8,2,2,56.6,broad_validation,none,0
CHG-00400,7,bugfix,functional_area_b,CMP-013,release_candidate,component_checks,profile_standard,7,70,64,2,16.0,0,0.264,34.5,2.08,43,0,7.0,1,61.7,3,1,75.7,expanded_validation,none,0
CHG-00401,20,dependency,functional_area_f,CMP-013,development,basic_checks,profile_distributed,10,216,34,2,49.5,0,0.101,33.8,-3.43,48,0,1.0,0,25.7,1,1,68.1,expanded_validation,none,0
CHG-00402,16,feature,functional_area_c,CMP-001,development,component_checks,profile_standard,8,165,173,1,19.5,2,0.324,46.0,0.71,36,0,0.0,0,42.0,3,1,73.8,expanded_validation,,0
CHG-00403,7,refactor,functional_area_g,CMP-005,development,basic_checks,profile_extended,11,184,120,2,25.9,0,0.241,40.3,3.26,40,0,1.0,0,40.0,3,2,71.4,expanded_validation,none,0
CHG-00404,20,test,functional_area_b,CMP-002,development,basic_checks,profile_standard,8,151,63,2,32.9,1,0.215,47.5,0.05,27,0,1.0,1,58.8,2,6,36.3,readiness_review,quality_regression,1
CHG-00405,10,feature,functional_area_d,CMP-001,development,broad_regression_checks,profile_standard,7,198,92,2,23.0,1,0.359,25.2,-1.43,45,1,0.0,0,38.0,1,0,57.2,broad_validation,none,0
CHG-00406,11,bugfix,functional_area_b,CMP-016,release_candidate,integrated_checks,profile_standard,9,252,89,1,70.7,0,0.387,28.6,0.78,19,0,2.0,0,65.5,1,0,83.0,focused_validation,none,0
CHG-00407,9,dependency,functional_area_d,CMP-001,hotfix,basic_checks,profile_standard,6,122,71,2,144.0,0,0.123,52.1,-2.09,35,0,3.0,1,70.2,2,3,35.6,readiness_review,,1
CHG-00408,3,bugfix,functional_area_a,CMP-100,development,broad_regression_checks,profile_extended,5,120,138,1,9.1,0,0.175,20.0,2.66,16,0,0.0,0,62.4,3,0,85.5,focused_validation,none,0
CHG-00409,19,bugfix,functional_area_a,CMP-004,development,broad_regression_checks,profile_distributed,8,201,112,1,57.2,0,0.028,88.6,,27,1,0.0,1,44.4,1,0,71.7,expanded_validation,none,0
CHG-00410,1,bugfix,functional_area_e,CMP-002,development,broad_regression_checks,profile_standard,7,198,192,2,36.0,4,0.192,17.9,0.22,9,0,,0,28.3,2,1,61.8,broad_validation,none,0
CHG-00411,4,bugfix,functional_area_b,CMP-074,development,broad_regression_checks,profile_extended,6,105,108,1,26.7,1,0.334,24.9,3.23,36,0,2.0,1,66.8,1,1,76.0,expanded_validation,,0
CHG-00412,5,test,functional_area_a,CMP-006,release_candidate,readiness_review,profile_distributed,14,128,132,4,52.0,0,0.251,28.4,-0.13,41,0,2.0,1,55.0,1,1,71.1,expanded_validation,none,0
CHG-00413,6,test,functional_area_g,CMP-013,development,integrated_checks,profile_standard,10,83,172,2,60.1,0,0.143,43.2,-3.55,48,1,3.0,1,69.6,1,0,46.3,broad_validation,validation_issue,0
CHG-00414,3,bugfix,functional_area_a,CMP-020,hotfix,readiness_review,profile_standard,7,62,83,2,31.0,1,0.476,53.3,0.16,50,0,2.0,2,69.7,2,0,69.0,expanded_validation,none,0
CHG-00415,1,test,functional_area_d,CMP-055,development,readiness_review,profile_standard,15,151,163,3,66.0,0,0.134,31.2,-0.8,84,1,2.0,0,53.1,1,0,71.1,expanded_validation,none,0
CHG-00416,14,feature,functional_area_d,CMP-001,development,component_checks,profile_standard,9,63,111,2,7.6,0,0.226,29.6,-0.27,79,0,0.0,0,61.7,4,1,55.0,broad_validation,none,0
CHG-00417,20,feature,functional_area_b,CMP-001,development,broad_regression_checks,profile_dependency,5,66,112,1,47.8,1,0.213,28.0,0.88,39,0,1.0,0,62.3,2,2,63.1,expanded_validation,none,0
CHG-00418,3,configuration,functional_area_c,CMP-116,development,broad_regression_checks,profile_standard,8,293,84,1,33.5,2,0.229,45.3,1.49,34,0,2.0,1,50.8,1,1,72.8,expanded_validation,none,0
CHG-00419,6,dependency,functional_area_a,CMP-001,release_candidate,broad_regression_checks,profile_standard,16,201,99,2,37.3,1,0.209,23.6,-2.94,50,0,2.0,1,57.0,2,1,52.0,broad_validation,insufficient_evidence,0
CHG-00420,11,feature,functional_area_f,CMP-022,release_candidate,broad_regression_checks,profile_distributed,9,224,109,2,56.5,2,0.165,33.5,-0.16,16,0,1.0,0,63.3,2,1,50.0,broad_validation,none,0
CHG-00421,19,feature,functional_area_b,CMP-013,development,component_checks,profile_standard,8,302,67,1,45.0,3,0.401,34.9,-0.49,47,0,3.0,1,23.1,1,0,81.8,focused_validation,none,0
CHG-00422,14,configuration,functional_area_b,CMP-009,development,component_checks,profile_extended,15,363,189,2,86.3,1,0.285,44.6,-0.17,45,1,0.0,0,67.7,3,3,39.5,readiness_review,validation_issue,1
CHG-00423,16,test,functional_area_b,CMP-034,development,integrated_checks,profile_standard,13,260,224,2,94.6,1,0.381,28.4,,64,0,0.0,0,38.2,2,1,74.8,expanded_validation,none,0
CHG-00424,12,feature,functional_area_g,CMP-115,release_candidate,broad_regression_checks,profile_standard,12,2923,1436,2,29.4,1,0.097,28.0,-0.61,59,0,3.0,0,55.8,7,2,53.3,broad_validation,none,0
CHG-00425,9,bugfix,functional_area_f,CMP-001,development,broad_regression_checks,profile_standard,4,83,39,1,14.5,0,0.32,27.2,,22,0,1.0,0,45.6,1,0,80.1,focused_validation,none,0
CHG-00426,4,refactor,functional_area_h,CMP-013,development,broad_regression_checks,profile_standard,10,216,52,1,32.5,1,0.494,34.0,-0.27,13,0,2.0,0,58.0,3,0,81.5,focused_validation,validation_issue,0
CHG-00427,18,bugfix,functional_area_e,CMP-023,development,broad_regression_checks,profile_standard,11,260,77,1,18.3,0,0.12,30.0,,48,0,2.0,1,49.9,1,1,85.3,focused_validation,none,0
CHG-00428,17,feature,functional_area_e,CMP-002,development,readiness_review,profile_extended,8,139,77,2,25.1,3,0.214,44.6,,41,0,2.0,0,62.7,2,2,44.9,readiness_review,quality_regression,1
CHG-00429,1,feature,functional_area_c,CMP-063,development,basic_checks,profile_extended,9,42,68,1,35.3,0,0.329,37.3,2.7,32,1,3.0,1,60.3,1,3,53.9,broad_validation,insufficient_evidence,1
CHG-00430,15,bugfix,functional_area_g,CMP-005,development,readiness_review,profile_distributed,12,192,142,3,11.4,0,0.12,49.6,-4.5,87,0,1.0,0,39.0,1,2,47.3,broad_validation,none,0
CHG-00431,2,bugfix,functional_area_d,CMP-001,development,basic_checks,profile_standard,10,424,167,2,43.6,0,0.214,25.8,0.25,58,0,1.0,0,39.0,1,1,63.9,expanded_validation,none,0
CHG-00432,15,test,functional_area_c,CMP-050,development,integrated_checks,profile_dependency,13,79,88,2,31.0,2,0.059,36.9,-1.94,64,1,2.0,0,47.7,5,2,50.8,broad_validation,validation_issue,1
CHG-00433,17,refactor,functional_area_e,CMP-085,development,basic_checks,profile_standard,3,39,86,1,20.6,2,0.152,63.5,-0.52,1,0,2.0,0,63.4,7,3,65.3,expanded_validation,none,0
CHG-00434,3,refactor,functional_area_d,CMP-001,hotfix,integrated_checks,profile_distributed,9,86,97,2,5.3,0,0.092,27.5,1.53,43,0,2.0,3,78.6,2,1,57.2,broad_validation,validation_issue,1
CHG-00435,9,dependency,functional_area_a,CMP-028,development,component_checks,profile_distributed,12,113,152,2,55.5,1,0.075,41.4,,46,0,0.0,0,62.2,1,2,58.2,broad_validation,none,0
CHG-00436,3,bugfix,functional_area_c,CMP-002,development,basic_checks,profile_extended,116,776,918,16,,1,0.202,99.5,,569,1,,1,47.9,2,2,31.2,readiness_review,insufficient_evidence,1
CHG-00437,12,bugfix,functional_area_b,CMP-001,development,integrated_checks,profile_standard,6,59,82,1,56.8,0,0.097,68.1,-3.71,405,0,2.0,0,68.1,2,0,71.2,expanded_validation,none,0
CHG-00438,19,dependency,functional_area_g,CMP-002,development,broad_regression_checks,profile_distributed,6,1495,667,1,18.3,0,0.182,37.7,,17,0,,0,57.6,2,0,79.8,focused_validation,none,0
CHG-00439,2,feature,functional_area_c,CMP-050,release_candidate,basic_checks,profile_distributed,3,40,42,1,,1,0.263,28.7,-1.67,30,0,2.0,0,54.5,4,2,67.5,expanded_validation,none,0
CHG-00440,8,refactor,functional_area_g,CMP-001,development,integrated_checks,profile_standard,13,59,95,3,61.7,1,0.187,56.7,-2.47,51,0,2.0,0,47.8,5,3,46.9,broad_validation,compatibility_issue,1
CHG-00441,20,refactor,functional_area_c,CMP-001,development,basic_checks,profile_distributed,7,112,42,1,39.2,3,0.28,42.0,0.83,39,0,0.0,0,65.0,1,1,57.4,broad_validation,none,0
CHG-00442,7,feature,functional_area_f,CMP-026,hotfix,basic_checks,profile_standard,7,169,150,1,37.2,1,0.23,27.3,1.36,30,0,1.0,0,94.1,1,3,37.4,readiness_review,execution_context_issue,1
CHG-00443,3,bugfix,functional_area_a,CMP-004,release_candidate,basic_checks,profile_standard,8,99,55,1,80.2,0,0.278,54.0,-5.03,69,0,2.0,1,36.3,3,3,51.5,broad_validation,none,0
CHG-00444,10,feature,functional_area_g,CMP-001,release_candidate,integrated_checks,profile_extended,12,328,104,2,77.0,1,0.152,34.4,-2.73,72,0,2.0,0,68.3,3,0,56.2,broad_validation,none,0
CHG-00445,11,feature,functional_area_c,CMP-002,development,broad_regression_checks,profile_distributed,9,143,80,1,25.1,2,0.396,25.3,-0.63,56,0,1.0,0,26.3,1,1,66.3,expanded_validation,none,0
CHG-00446,14,bugfix,functional_area_b,CMP-035,development,integrated_checks,profile_standard,6,61,67,2,22.5,0,0.088,24.7,-0.02,45,0,3.0,1,40.0,1,0,85.4,focused_validation,none,0
CHG-00447,7,bugfix,functional_area_b,CMP-013,release_candidate,broad_regression_checks,profile_standard,11,305,130,3,19.6,0,0.112,21.7,3.7,39,0,4.0,0,71.5,3,0,86.3,focused_validation,none,0
CHG-00448,20,test,functional_area_b,CMP-029,development,integrated_checks,profile_standard,9,216,68,2,8.7,0,0.053,34.2,-3.2,17,0,2.0,0,53.9,5,1,62.1,expanded_validation,none,0
CHG-00449,11,dependency,functional_area_c,CMP-001,release_candidate,broad_regression_checks,profile_standard,54,379,520,6,70.6,1,0.384,85.2,-2.36,194,0,0.0,2,51.0,2,1,36.5,readiness_review,quality_regression,1
CHG-00450,6,test,functional_area_f,CMP-006,release_candidate,readiness_review,profile_standard,10,167,65,2,38.8,1,0.154,31.9,2.87,34,0,1.0,1,57.0,2,1,64.2,expanded_validation,none,0
CHG-00451,20,bugfix,functional_area_h,CMP-036,development,component_checks,profile_standard,10,164,102,2,25.4,2,0.252,33.4,,31,1,2.0,0,66.9,2,3,34.4,readiness_review,validation_issue,1
CHG-00452,19,bugfix,functional_area_e,CMP-002,development,basic_checks,profile_distributed,9,199,94,2,34.6,1,0.32,38.6,1.14,32,0,2.0,0,53.3,1,3,52.8,broad_validation,none,0
CHG-00453,10,bugfix,functional_area_d,CMP-001,development,basic_checks,profile_standard,7,175,36,1,74.2,1,0.184,32.3,-1.34,46,0,0.0,1,52.0,2,1,78.8,focused_validation,none,0
CHG-00454,1,feature,functional_area_c,CMP-004,development,integrated_checks,profile_standard,12,227,79,3,11.9,0,0.117,35.2,-0.76,32,0,1.0,2,68.3,1,0,72.2,expanded_validation,none,0
CHG-00455,12,dependency,functional_area_g,CMP-003,development,integrated_checks,profile_standard,6,126,121,1,69.2,0,0.026,22.2,1.34,17,0,0.0,0,64.4,4,0,86.4,focused_validation,none,0
CHG-00456,12,bugfix,functional_area_g,CMP-001,release_candidate,basic_checks,profile_standard,8,148,79,2,32.7,0,0.26,16.4,-1.08,23,0,,0,57.9,4,2,56.7,broad_validation,none,0
CHG-00457,3,feature,functional_area_b,CMP-091,development,broad_regression_checks,profile_standard,11,206,71,2,43.0,1,0.21,39.1,-2.26,54,0,4.0,0,61.8,4,2,54.0,broad_validation,none,0
CHG-00458,13,test,functional_area_h,CMP-006,release_candidate,readiness_review,profile_standard,6,64,59,2,44.4,2,0.13,26.6,1.48,14,0,0.0,0,59.9,2,1,64.3,expanded_validation,none,0
CHG-00459,17,bugfix,functional_area_c,CMP-012,development,component_checks,profile_standard,12,213,44,2,76.6,1,0.118,20.1,-2.3,43,0,3.0,0,53.5,2,0,75.4,expanded_validation,none,0
CHG-00460,3,feature,functional_area_f,CMP-001,release_candidate,basic_checks,profile_standard,8,118,102,1,19.0,1,0.092,35.7,1.21,29,0,1.0,2,36.5,3,3,56.1,broad_validation,none,0
CHG-00461,15,feature,functional_area_h,CMP-012,development,basic_checks,profile_extended,8,125,121,2,104.4,0,0.162,56.5,-1.45,28,1,1.0,1,42.9,3,3,46.3,broad_validation,insufficient_evidence,1
CHG-00462,3,refactor,functional_area_f,CMP-009,release_candidate,component_checks,profile_dependency,125,752,898,19,13.9,0,0.285,70.1,-4.55,417,0,1.0,0,66.5,1,1,21.0,readiness_review,quality_regression,1
CHG-00463,15,test,functional_area_a,CMP-080,release_candidate,broad_regression_checks,profile_extended,5,78,110,2,21.4,1,0.209,26.4,2.01,27,0,1.0,0,46.1,7,0,85.9,focused_validation,,0
CHG-00464,9,feature,functional_area_d,CMP-004,development,integrated_checks,profile_standard,93,985,571,12,48.6,0,0.217,55.8,-2.65,297,1,3.0,0,46.7,2,0,25.2,readiness_review,quality_regression,1
CHG-00465,1,dependency,functional_area_a,CMP-033,development,basic_checks,profile_standard,10,322,151,2,71.4,0,0.03,23.9,-0.75,60,0,4.0,0,26.3,2,1,77.7,expanded_validation,none,0
CHG-00466,20,test,functional_area_f,CMP-002,release_candidate,integrated_checks,profile_standard,8,237,110,2,19.6,0,0.443,31.7,,35,1,1.0,2,75.2,2,0,41.1,readiness_review,insufficient_evidence,1
CHG-00467,4,test,functional_area_b,CMP-011,development,basic_checks,profile_extended,9,173,119,1,12.6,0,0.197,38.4,-3.44,34,0,1.0,0,74.3,1,3,56.6,broad_validation,none,0
CHG-00468,12,feature,functional_area_e,CMP-077,release_candidate,component_checks,profile_extended,9,143,107,2,73.6,0,0.329,77.3,2.51,49,0,1.0,1,47.9,3,1,69.8,expanded_validation,none,0
CHG-00469,4,feature,functional_area_g,CMP-014,hotfix,component_checks,profile_standard,9,267,74,2,25.8,2,0.36,40.5,0.19,27,0,6.0,3,44.7,2,1,49.2,broad_validation,quality_regression,1
CHG-00470,19,test,functional_area_b,CMP-022,release_candidate,integrated_checks,profile_standard,15,161,136,3,27.0,0,0.084,41.9,2.56,54,0,0.0,2,72.6,2,0,75.4,expanded_validation,none,0
